year,African Development Fund,Arab Fund (AFESD),Asian Development Bank,EU Institutions,Global Alliance for Vaccines and Immunization,Global Fund,International Development Association,UNFPA,World Health Organisation,indicator
2010,,,,550.2232601337298,616.8355586257308,2608.8754673017083,940.012001623641,,406.8899510470518,value
2011,,,,530.1687164873742,633.3707746347242,2742.43095702161,1039.1350917451898,,414.65167529789625,value
2012,,,,529.6170995696771,822.976443202962,3051.339778912954,980.2140946347026,,396.1959350166858,value
2013,,,,572.5636903101317,1053.8684069152564,3330.0603646302284,1016.0084379622376,,423.6898504429043,value
2014,,,,566.3993632479383,1245.5768343564098,3419.709961497299,981.7146122141143,,424.9431635017873,value
2015,,,,600.3973473443758,1502.9347779656443,3476.612349660399,1119.3126741900353,,508.20159886055654,value
2016,,,,668.3830671670789,1470.5156771266004,3473.4791274243194,1157.3165838396606,,538.4598595049705,value
2017,,,,799.2811724324355,1594.0588341744995,4053.543148051916,1375.2683277061478,,566.1003417798271,value
2018,,,,767.8223209236007,1497.87375682053,4001.0183508322484,1438.8132577160284,,511.0273343185004,value
2019,,,,731.0553723435768,1744.00748055052,3931.008226708645,1602.1033105198376,,479.72918344728055,value
2020,,,,730.7040608850076,1830.609985751017,3847.825674226173,1929.5742999146994,,381.0512199759603,value
2021,,,608.2074606456986,1137.3336393196723,1861.7822130209606,4390.939034562497,2237.993091613566,,,value
2022,,,660.3034492305902,1422.3930223947093,1765.4150356359698,4898.206148175715,2837.8492668040676,,,value
2010,,,,8.9,9.9,42.0,15.1,,6.5,share
2011,,,,8.2,9.8,42.2,16.0,,6.4,share
2012,,,,7.7,11.9,44.1,14.2,,5.7,share
2013,,,,7.7,14.1,44.6,13.6,,5.7,share
2014,,,,7.3,16.2,44.3,12.7,,5.5,share
2015,,,,7.2,18.1,41.8,13.5,,6.1,share
2016,,,,8.0,17.6,41.5,13.8,,6.4,share
2017,,,,8.5,16.9,43.0,14.6,,6.0,share
2018,,,,8.4,16.4,43.7,15.7,,5.6,share
2019,,,,7.8,18.6,42.0,17.1,,5.1,share
2020,,,,7.6,19.0,39.9,20.0,,4.0,share
2021,,,5.4,10.0,16.4,38.8,19.8,,,share
2022,,,5.1,11.1,13.7,38.1,22.1,,,share
